Digikey,,,Stock Number
Quantity,Part Number,Description,
,,,
1,Adafruit BMP280 Breakout Board,Breakout board for BMP280 (barometer),1597-1386-ND
1,Adafruit BNO055 Absoluite Orientation Sensor,Breakout board for BNO055,1528-1426-ND
1,M5Stack Neo-m8n breakout with antenna,Breakout board for Neo-m8n GPS module with antenna,2221-M003-ND
1,Micro SD card module,Micro SD card breakout,1738-1038-ND
,,,
RS Online,,,
Quantity,Part Number,Description,Stock Number
2,Adafruit Lora Radio Breakout Board 433MHz,Adafruit radio transceiver breakout board with RFM96W at 433MHz,124-5502
,,,
RC Hobbies NZ,,,
Quantity,Part Number,Description,Stock Number
1,Tattu 2S 800mah Lipo Battery,,TA800-2S45-JST
,,,
Jaycar,,,
,,,
3,Arduino Compatible 9G Micro Servo Motor,Micro servo,YM2758
,,,
Aerospace Education,,,
Quantity,Part Number,Description,Link
1,Phenolic Tube 29mm,Body tube for model rocket,http://www.aerospaceeducation.co.nz/gallery/Body%2BTubes%252FAirframes/phenolic-tube-29mm/336322
,,,
"Somewhere? Is out of stock in a lot of places, but in stock on Adafruits website, not sure how long shipping will take",,,
Quantity,Part Number,Description,Stock Number
1,Adafruit Feather STM32F405,Microcontroller breakout board using the STM32F405 microcontroller,
